09-14-2026 18:16:39 RAM 1882/7620MB (lfb 4x4MB) SWAP 779/8192MB (cached 203MB) CPU [0%@1728,0%@1728,0%@1728,0%@1728,0%@729,0%@729] GR3D_FREQ 0% cpu@49.843C soc2@48.156C soc0@48.968C gpu@49.156C tj@49.843C soc1@49.625C VDD_IN 4411mW/4452mW VDD_CPU_GPU_CV 516mW/516mW VDD_SOC 1430mW/1430mW
09-14-2026 18:16:39 RAM 1882/7620MB (lfb 4x4MB) SWAP 779/8192MB (cached 203MB) CPU [0%@729,0%@729,0%@729,0%@729,0%@729,0%@729] GR3D_FREQ 0% cpu@49.812C soc2@48.218C soc0@48.968C gpu@49.093C tj@49.812C soc1@49.562C VDD_IN 4451mW/4452mW VDD_CPU_GPU_CV 476mW/514mW VDD_SOC 1430mW/1430mW
09-14-2026 18:16:40 RAM 1882/7620MB (lfb 4x4MB) SWAP 779/8192MB (cached 203MB) CPU [0%@1728,1%@1728,0%@1728,1%@1728,0%@729,0%@729] GR3D_FREQ 0% cpu@50C soc2@48.281C soc0@48.843C gpu@49.156C tj@49.75C soc1@49.5C VDD_IN 4411mW/4450mW VDD_CPU_GPU_CV 476mW/512mW VDD_SOC 1430mW/1430mW
09-14-2026 18:16:40 RAM 1882/7620MB (lfb 4x4MB) SWAP 779/8192MB (cached 203MB) CPU [0%@729,0%@729,1%@1728,1%@1728,0%@729,0%@729] GR3D_FREQ 0% cpu@49.843C soc2@48.281C soc0@49.062C gpu@49.156C tj@49.843C soc1@49.468C VDD_IN 4451mW/4450mW VDD_CPU_GPU_CV 516mW/512mW VDD_SOC 1430mW/1430mW
09-14-2026 18:16:41 RAM 1883/7620MB (lfb 4x4MB) SWAP 779/8192MB (cached 203MB) CPU [5%@1728,0%@1728,0%@1728,0%@1728,0%@729,2%@729] GR3D_FREQ 0% cpu@49.968C soc2@48.281C soc0@49.031C gpu@49.187C tj@49.968C soc1@49.5C VDD_IN 4491mW/4452mW VDD_CPU_GPU_CV 556mW/514mW VDD_SOC 1430mW/1430mW
09-14-2026 18:16:41 RAM 1903/7620MB (lfb 4x4MB) SWAP 779/8192MB (cached 203MB) CPU [18%@1728,18%@1728,46%@1728,17%@1728,14%@729,15%@729] GR3D_FREQ 0% cpu@50.656C soc2@48.312C soc0@49.031C gpu@49.156C tj@50.656C soc1@49.468C VDD_IN 5126mW/4484mW VDD_CPU_GPU_CV 1033mW/539mW VDD_SOC 1430mW/1430mW
09-14-2026 18:16:42 RAM 2029/7620MB (lfb 4x4MB) SWAP 779/8192MB (cached 203MB) CPU [9%@1728,0%@1728,84%@1728,0%@1728,0%@729,0%@729] GR3D_FREQ 0% cpu@50.593C soc2@48.406C soc0@48.968C gpu@49.531C tj@50.593C soc1@49.625C VDD_IN 5524mW/4531mW VDD_CPU_GPU_CV 1271mW/572mW VDD_SOC 1470mW/1432mW
09-14-2026 18:16:42 RAM 2022/7620MB (lfb 275x1MB) SWAP 779/8192MB (cached 203MB) CPU [14%@1728,15%@1728,85%@1728,4%@1728,0%@729,0%@729] GR3D_FREQ 0% cpu@50.437C soc2@48.437C soc0@48.906C gpu@49.406C tj@50.437C soc1@49.625C VDD_IN 5723mW/4583mW VDD_CPU_GPU_CV 1388mW/607mW VDD_SOC 1510mW/1435mW
09-14-2026 18:16:43 RAM 2019/7620MB (lfb 273x1MB) SWAP 779/8192MB (cached 203MB) CPU [41%@1728,3%@1728,64%@1728,6%@1728,2%@1344,70%@1344] GR3D_FREQ 0% cpu@50.562C soc2@48.468C soc0@49.031C gpu@49.5C tj@50.562C soc1@49.625C VDD_IN 6001mW/4642mW VDD_CPU_GPU_CV 1547mW/647mW VDD_SOC 1550mW/1440mW
09-14-2026 18:16:43 RAM 2021/7620MB (lfb 273x1MB) SWAP 779/8192MB (cached 203MB) CPU [38%@1728,2%@1728,72%@1728,0%@1728,70%@1420,13%@1420] GR3D_FREQ 0% cpu@50.968C soc2@48.531C soc0@49.093C gpu@49.468C tj@50.968C soc1@49.5C VDD_IN 6120mW/4701mW VDD_CPU_GPU_CV 1666mW/687mW VDD_SOC 1589mW/1446mW
09-14-2026 18:16:44 RAM 2132/7620MB (lfb 273x1MB) SWAP 779/8192MB (cached 203MB) CPU [38%@1728,0%@1728,76%@1728,1%@1728,44%@729,30%@729] GR3D_FREQ 0% cpu@50.781C soc2@48.531C soc0@49.062C gpu@49.437C tj@50.781C soc1@49.75C VDD_IN 6120mW/4756mW VDD_CPU_GPU_CV 1626mW/724mW VDD_SOC 1589mW/1451mW
09-14-2026 18:16:44 RAM 4097/7620MB (lfb 273x1MB) SWAP 779/8192MB (cached 203MB) CPU [0%@1728,0%@1728,100%@1728,0%@1728,0%@729,0%@729] GR3D_FREQ 0% cpu@50.781C soc2@48.437C soc0@49.093C gpu@49.531C tj@50.781C soc1@49.687C VDD_IN 5842mW/4796mW VDD_CPU_GPU_CV 1309mW/745mW VDD_SOC 1589mW/1457mW
09-14-2026 18:16:45 RAM 4321/7620MB (lfb 273x1MB) SWAP 779/8192MB (cached 203MB) CPU [23%@1728,0%@1728,68%@1728,0%@1728,0%@1344,39%@1344] GR3D_FREQ 7% cpu@50.687C soc2@48.562C soc0@49.125C gpu@49.468C tj@50.687C soc1@49.531C VDD_IN 5842mW/4833mW VDD_CPU_GPU_CV 1349mW/767mW VDD_SOC 1589mW/1461mW
09-14-2026 18:16:45 RAM 4320/7620MB (lfb 273x1MB) SWAP 779/8192MB (cached 203MB) CPU [34%@1728,0%@1728,57%@1728,0%@1728,3%@729,40%@729] GR3D_FREQ 8% cpu@50.5C soc2@48.531C soc0@49.156C gpu@49.781C tj@50.5C soc1@49.593C VDD_IN 5802mW/4867mW VDD_CPU_GPU_CV 1309mW/785mW VDD_SOC 1589mW/1466mW
09-14-2026 18:16:46 RAM 4321/7620MB (lfb 273x1MB) SWAP 779/8192MB (cached 203MB) CPU [32%@1728,0%@1728,13%@1728,42%@1728,0%@729,44%@729] GR3D_FREQ 15% cpu@50.531C soc2@48.562C soc0@49.093C gpu@49.375C tj@50.531C soc1@49.843C VDD_IN 5842mW/4899mW VDD_CPU_GPU_CV 1309mW/803mW VDD_SOC 1589mW/1470mW
09-14-2026 18:16:46 RAM 4320/7620MB (lfb 273x1MB) SWAP 779/8192MB (cached 203MB) CPU [36%@1113,0%@1113,2%@1113,54%@1113,0%@1113,39%@1113] GR3D_FREQ 6% cpu@50.375C soc2@48.593C soc0@49.062C gpu@49.75C tj@50.375C soc1@49.718C VDD_IN 5802mW/4928mW VDD_CPU_GPU_CV 1309mW/819mW VDD_SOC 1589mW/1474mW
09-14-2026 18:16:47 RAM 4321/7620MB (lfb 273x1MB) SWAP 779/8192MB (cached 203MB) CPU [41%@1728,36%@1728,6%@1728,8%@1728,1%@1497,50%@1497] GR3D_FREQ 10% cpu@50.562C soc2@48.625C soc0@49.062C gpu@49.437C tj@50.562C soc1@49.718C VDD_IN 5842mW/4957mW VDD_CPU_GPU_CV 1309mW/835mW VDD_SOC 1589mW/1477mW
09-14-2026 18:16:47 RAM 4322/7620MB (lfb 273x1MB) SWAP 779/8192MB (cached 203MB) CPU [31%@1113,45%@1113,0%@1113,0%@1113,1%@1728,48%@1728] GR3D_FREQ 6% cpu@50.718C soc2@48.5C soc0@49.25C gpu@49.75C tj@50.718C soc1@49.718C VDD_IN 5961mW/4987mW VDD_CPU_GPU_CV 1428mW/853mW VDD_SOC 1589mW/1481mW
