09-12-2026 20:12:37 RAM 4985/7620MB (lfb 249x1MB) SWAP 1111/12002MB (cached 10MB) CPU [47%@729,37%@729,45%@729,40%@729,1%@729,66%@729] GR3D_FREQ 33% cpu@57.125C soc2@55.468C soc0@55.781C gpu@56.031C tj@57.125C soc1@56.437C VDD_IN 5991mW/5916mW VDD_CPU_GPU_CV 1307mW/1286mW VDD_SOC 1626mW/1584mW
09-12-2026 20:12:38 RAM 5083/7620MB (lfb 249x1MB) SWAP 1111/12002MB (cached 10MB) CPU [25%@1728,17%@1728,19%@1728,28%@1728,0%@1728,81%@1728] GR3D_FREQ 0% cpu@57C soc2@55.375C soc0@55.687C gpu@56.062C tj@57C soc1@56.468C VDD_IN 5912mW/5915mW VDD_CPU_GPU_CV 1230mW/1283mW VDD_SOC 1587mW/1584mW
09-12-2026 20:12:38 RAM 5164/7620MB (lfb 249x1MB) SWAP 1111/12002MB (cached 10MB) CPU [11%@729,11%@729,18%@1728,12%@1728,9%@1036,82%@1036] GR3D_FREQ 18% cpu@56.937C soc2@55.343C soc0@55.687C gpu@55.906C tj@56.937C soc1@56.468C VDD_IN 5793mW/5909mW VDD_CPU_GPU_CV 1190mW/1277mW VDD_SOC 1587mW/1585mW
09-12-2026 20:12:39 RAM 5446/7620MB (lfb 249x1MB) SWAP 1111/12002MB (cached 10MB) CPU [34%@1036,40%@1036,34%@1036,42%@1036,18%@960,66%@960] GR3D_FREQ 18% cpu@56.937C soc2@55.5C soc0@55.656C gpu@55.968C tj@56.937C soc1@56.468C VDD_IN 5872mW/5907mW VDD_CPU_GPU_CV 1230mW/1275mW VDD_SOC 1587mW/1585mW
09-12-2026 20:12:39 RAM 5598/7620MB (lfb 249x1MB) SWAP 1111/12002MB (cached 10MB) CPU [17%@1728,18%@1728,14%@1728,15%@1728,6%@1728,86%@1728] GR3D_FREQ 0% cpu@56.937C soc2@55.343C soc0@55.562C gpu@56.125C tj@57C soc1@56.437C VDD_IN 5872mW/5905mW VDD_CPU_GPU_CV 1190mW/1271mW VDD_SOC 1587mW/1585mW
09-12-2026 20:12:40 RAM 5800/7620MB (lfb 249x1MB) SWAP 1111/12002MB (cached 10MB) CPU [17%@729,16%@1728,24%@1728,25%@1728,10%@1574,89%@1574] GR3D_FREQ 9% cpu@56.906C soc2@55.437C soc0@55.593C gpu@56.031C tj@56.906C soc1@56.562C VDD_IN 6190mW/5919mW VDD_CPU_GPU_CV 1465mW/1280mW VDD_SOC 1626mW/1587mW
09-12-2026 20:12:40 RAM 5917/7620MB (lfb 164x1MB) SWAP 1111/12002MB (cached 10MB) CPU [16%@729,14%@729,1%@729,8%@729,8%@1728,86%@1728] GR3D_FREQ 0% cpu@57.031C soc2@55.406C soc0@55.468C gpu@56.093C tj@56.906C soc1@56.5C VDD_IN 5952mW/5920mW VDD_CPU_GPU_CV 1267mW/1279mW VDD_SOC 1587mW/1587mW
09-12-2026 20:12:41 RAM 5951/7620MB (lfb 138x1MB) SWAP 1111/12002MB (cached 10MB) CPU [1%@1728,1%@1728,3%@1728,0%@1728,0%@1728,93%@1728] GR3D_FREQ 39% cpu@57.187C soc2@55.312C soc0@55.593C gpu@56.062C tj@57.187C soc1@56.5C VDD_IN 5832mW/5916mW VDD_CPU_GPU_CV 1388mW/1284mW VDD_SOC 1507mW/1583mW
09-12-2026 20:12:41 RAM 5951/7620MB (lfb 138x1MB) SWAP 1111/12002MB (cached 10MB) CPU [0%@729,0%@729,0%@729,0%@729,0%@1728,91%@1728] GR3D_FREQ 0% cpu@56.968C soc2@55.312C soc0@55.75C gpu@56.031C tj@56.968C soc1@56.5C VDD_IN 5793mW/5911mW VDD_CPU_GPU_CV 1309mW/1285mW VDD_SOC 1507mW/1580mW
09-12-2026 20:12:42 RAM 5959/7620MB (lfb 134x1MB) SWAP 1111/12002MB (cached 10MB) CPU [3%@1728,1%@1728,0%@1728,0%@1728,24%@1728,73%@1728] GR3D_FREQ 0% cpu@57C soc2@55.375C soc0@55.656C gpu@56C tj@57C soc1@56.5C VDD_IN 5723mW/5904mW VDD_CPU_GPU_CV 1269mW/1284mW VDD_SOC 1507mW/1577mW
09-12-2026 20:12:42 RAM 6083/7620MB (lfb 65x1MB) SWAP 1111/12002MB (cached 10MB) CPU [2%@729,0%@729,0%@729,18%@729,54%@883,28%@883] GR3D_FREQ 9% cpu@57C soc2@55.468C soc0@55.593C gpu@56.593C tj@57C soc1@56.593C VDD_IN 8081mW/5987mW VDD_CPU_GPU_CV 2843mW/1344mW VDD_SOC 1819mW/1587mW
09-12-2026 20:12:43 RAM 6152/7620MB (lfb 7073x32kB) SWAP 1111/12002MB (cached 10MB) CPU [4%@1728,63%@1728,0%@1728,2%@1728,44%@1728,52%@1728] GR3D_FREQ 41% cpu@57.5C soc2@55.875C soc0@55.781C gpu@56.875C tj@57.5C soc1@56.625C VDD_IN 10289mW/6147mW VDD_CPU_GPU_CV 4487mW/1461mW VDD_SOC 2050mW/1604mW
09-12-2026 20:12:43 RAM 6153/7620MB (lfb 1x1MB) SWAP 1110/12002MB (cached 10MB) CPU [19%@1728,18%@1728,21%@1728,1%@1728,98%@1728,0%@1728] GR3D_FREQ 50% cpu@57.625C soc2@55.937C soc0@55.75C gpu@56.75C tj@57.625C soc1@56.656C VDD_IN 9096mW/6252mW VDD_CPU_GPU_CV 3745mW/1542mW VDD_SOC 1855mW/1613mW
09-12-2026 20:12:44 RAM 6153/7620MB (lfb 1x1MB) SWAP 1110/12002MB (cached 10MB) CPU [0%@1728,1%@1728,0%@1728,0%@1728,100%@1728,0%@1728] GR3D_FREQ 52% cpu@57.875C soc2@55.812C soc0@55.812C gpu@56.937C tj@57.875C soc1@56.593C VDD_IN 8661mW/6335mW VDD_CPU_GPU_CV 3395mW/1606mW VDD_SOC 1776mW/1618mW
09-12-2026 20:12:44 RAM 6153/7620MB (lfb 1x1MB) SWAP 1110/12002MB (cached 10MB) CPU [0%@729,0%@729,0%@729,0%@729,98%@1728,0%@1728] GR3D_FREQ 65% cpu@57.531C soc2@55.875C soc0@55.812C gpu@56.781C tj@57.531C soc1@56.531C VDD_IN 8424mW/6405mW VDD_CPU_GPU_CV 3159mW/1658mW VDD_SOC 1779mW/1624mW
09-12-2026 20:12:45 RAM 6153/7620MB (lfb 1x1MB) SWAP 1110/12002MB (cached 10MB) CPU [1%@729,2%@729,0%@729,0%@1728,80%@1728,0%@1728] GR3D_FREQ 99% cpu@57.812C soc2@56.093C soc0@56.062C gpu@58.312C tj@58.312C soc1@56.562C VDD_IN 11196mW/6559mW VDD_CPU_GPU_CV 4912mW/1763mW VDD_SOC 2164mW/1641mW
09-12-2026 20:12:45 RAM 6154/7620MB (lfb 1x1MB) SWAP 1110/12002MB (cached 10MB) CPU [0%@1728,0%@1728,0%@1728,0%@1728,92%@1728,0%@1728] GR3D_FREQ 44% cpu@57.875C soc2@56.187C soc0@55.937C gpu@57.281C tj@58C soc1@56.937C VDD_IN 10306mW/6676mW VDD_CPU_GPU_CV 4479mW/1848mW VDD_SOC 2010mW/1653mW
