09-12-2026 20:03:43 RAM 6761/7620MB (lfb 22x256kB) SWAP 1190/12002MB (cached 10MB) CPU [30%@1574,78%@1574,37%@1574,28%@1574,40%@1651,36%@1651] GR3D_FREQ 20% cpu@53.437C soc2@51.062C soc0@51.437C gpu@52C tj@53.437C soc1@52.125C VDD_IN 6547mW/6285mW VDD_CPU_GPU_CV 1861mW/1575mW VDD_SOC 1626mW/1634mW
09-12-2026 20:03:44 RAM 6966/7620MB (lfb 7x256kB) SWAP 1192/12002MB (cached 10MB) CPU [47%@729,30%@1728,51%@1728,50%@1728,60%@1267,58%@1267] GR3D_FREQ 9% cpu@53.031C soc2@51.093C soc0@51.5C gpu@51.968C tj@53.031C soc1@52.25C VDD_IN 6586mW/6302mW VDD_CPU_GPU_CV 1861mW/1592mW VDD_SOC 1626mW/1633mW
09-12-2026 20:03:44 RAM 7136/7620MB (lfb 52x128kB) SWAP 1214/12002MB (cached 10MB) CPU [54%@1267,15%@1267,39%@1267,37%@1267,44%@1728,98%@1728] GR3D_FREQ 0% cpu@53.062C soc2@51.156C soc0@51.468C gpu@52.031C tj@53.062C soc1@52.156C VDD_IN 6705mW/6325mW VDD_CPU_GPU_CV 2020mW/1616mW VDD_SOC 1626mW/1633mW
09-12-2026 20:03:45 RAM 7102/7620MB (lfb 54x128kB) SWAP 1274/12002MB (cached 10MB) CPU [7%@1728,92%@1728,3%@1728,0%@1728,1%@1728,46%@1728] GR3D_FREQ 0% cpu@52.875C soc2@50.968C soc0@51.593C gpu@51.843C tj@52.812C soc1@52.218C VDD_IN 6190mW/6318mW VDD_CPU_GPU_CV 1587mW/1614mW VDD_SOC 1587mW/1630mW
09-12-2026 20:03:45 RAM 7276/7620MB (lfb 1x128kB) SWAP 1358/12002MB (cached 9MB) CPU [12%@1651,84%@1651,17%@1651,21%@1651,16%@1728,90%@1728] GR3D_FREQ 13% cpu@53.312C soc2@51.156C soc0@51.593C gpu@51.843C tj@53.312C soc1@52.156C VDD_IN 6666mW/6335mW VDD_CPU_GPU_CV 1941mW/1631mW VDD_SOC 1626mW/1630mW
09-12-2026 20:03:46 RAM 7301/7620MB (lfb 16x256kB) SWAP 1475/12002MB (cached 7MB) CPU [19%@1728,72%@1728,14%@1728,16%@1728,19%@1344,94%@1267] GR3D_FREQ 0% cpu@53.125C soc2@51.187C soc0@51.531C gpu@52.031C tj@53.125C soc1@52.25C VDD_IN 6705mW/6353mW VDD_CPU_GPU_CV 1980mW/1647mW VDD_SOC 1626mW/1630mW
09-12-2026 20:03:46 RAM 7341/7620MB (lfb 1x1MB) SWAP 1453/12002MB (cached 7MB) CPU [1%@1728,95%@1728,0%@1728,2%@1728,0%@729,1%@729] GR3D_FREQ 0% cpu@53.062C soc2@51.062C soc0@51.5C gpu@51.843C tj@53.062C soc1@52.218C VDD_IN 6080mW/6340mW VDD_CPU_GPU_CV 1468mW/1639mW VDD_SOC 1587mW/1628mW
09-12-2026 20:03:47 RAM 7366/7620MB (lfb 1x1MB) SWAP 1448/12002MB (cached 7MB) CPU [2%@1728,3%@1728,1%@1728,19%@1728,54%@1497,29%@1497] GR3D_FREQ 8% cpu@52.687C soc2@51.031C soc0@51.5C gpu@51.812C tj@52.781C soc1@52.375C VDD_IN 5802mW/6317mW VDD_CPU_GPU_CV 1269mW/1623mW VDD_SOC 1547mW/1624mW
09-12-2026 20:03:47 RAM 7344/7620MB (lfb 1x128kB) SWAP 1647/12002MB (cached 7MB) CPU [31%@1728,3%@1728,51%@1728,94%@1728,32%@1728,36%@1728] GR3D_FREQ 18% cpu@53.187C soc2@51.218C soc0@51.437C gpu@51.781C tj@53.187C soc1@52.312C VDD_IN 6348mW/6318mW VDD_CPU_GPU_CV 1861mW/1633mW VDD_SOC 1547mW/1621mW
09-12-2026 20:03:48 RAM 7373/7620MB (lfb 60x64kB) SWAP 1868/12002MB (cached 6MB) CPU [0%@1728,0%@1728,1%@1728,100%@1728,1%@1728,97%@1728] GR3D_FREQ 0% cpu@53.312C soc2@51.093C soc0@51.437C gpu@52C tj@53.312C soc1@52.218C VDD_IN 6467mW/6324mW VDD_CPU_GPU_CV 1901mW/1644mW VDD_SOC 1547mW/1618mW
