09-12-2026 21:03:33 RAM 5056/7620MB (lfb 215x1MB) SWAP 1051/12002MB (cached 10MB) CPU [47%@883,37%@883,23%@883,42%@883,22%@729,60%@729] GR3D_FREQ 70% cpu@50.062C soc2@48.281C soc0@48.75C gpu@49.343C tj@50.062C soc1@49.437C VDD_IN 6001mW/5894mW VDD_CPU_GPU_CV 1269mW/1259mW VDD_SOC 1629mW/1604mW
09-12-2026 21:03:33 RAM 5077/7620MB (lfb 215x1MB) SWAP 1051/12002MB (cached 10MB) CPU [11%@1728,18%@1728,11%@1728,5%@1728,0%@1728,92%@1728] GR3D_FREQ 0% cpu@50.25C soc2@48.062C soc0@48.75C gpu@49.156C tj@50.25C soc1@49.312C VDD_IN 5842mW/5891mW VDD_CPU_GPU_CV 1190mW/1255mW VDD_SOC 1589mW/1603mW
09-12-2026 21:03:34 RAM 5219/7620MB (lfb 214x1MB) SWAP 1051/12002MB (cached 10MB) CPU [26%@729,21%@729,32%@729,18%@729,8%@883,68%@883] GR3D_FREQ 21% cpu@50.218C soc2@48.125C soc0@48.875C gpu@49.25C tj@50.218C soc1@49.375C VDD_IN 5762mW/5884mW VDD_CPU_GPU_CV 1150mW/1249mW VDD_SOC 1589mW/1602mW
09-12-2026 21:03:34 RAM 5519/7620MB (lfb 214x1MB) SWAP 1051/12002MB (cached 10MB) CPU [46%@883,37%@883,38%@883,31%@883,17%@883,60%@960] GR3D_FREQ 15% cpu@50.031C soc2@48.156C soc0@48.875C gpu@49.093C tj@50.031C soc1@49.406C VDD_IN 5762mW/5877mW VDD_CPU_GPU_CV 1150mW/1244mW VDD_SOC 1629mW/1604mW
09-12-2026 21:03:35 RAM 5598/7620MB (lfb 214x1MB) SWAP 1051/12002MB (cached 10MB) CPU [16%@1728,15%@1728,21%@1728,13%@1728,1%@1728,90%@1728] GR3D_FREQ 0% cpu@50.25C soc2@48.156C soc0@48.843C gpu@49.312C tj@50.25C soc1@49.593C VDD_IN 5802mW/5874mW VDD_CPU_GPU_CV 1150mW/1239mW VDD_SOC 1589mW/1603mW
09-12-2026 21:03:35 RAM 5806/7620MB (lfb 97x1MB) SWAP 1051/12002MB (cached 10MB) CPU [20%@1190,46%@1190,24%@1190,26%@1190,14%@729,60%@729] GR3D_FREQ 17% cpu@50.031C soc2@48.187C soc0@48.875C gpu@49C tj@50.031C soc1@49.5C VDD_IN 6001mW/5880mW VDD_CPU_GPU_CV 1309mW/1243mW VDD_SOC 1629mW/1604mW
09-12-2026 21:03:36 RAM 5946/7620MB (lfb 4702x32kB) SWAP 1051/12002MB (cached 10MB) CPU [4%@1728,88%@1728,13%@1728,8%@1728,15%@729,13%@729] GR3D_FREQ 0% cpu@50.187C soc2@48.312C soc0@48.812C gpu@49.406C tj@50.031C soc1@49.406C VDD_IN 5882mW/5880mW VDD_CPU_GPU_CV 1230mW/1242mW VDD_SOC 1589mW/1604mW
09-12-2026 21:03:36 RAM 5958/7620MB (lfb 4598x32kB) SWAP 1051/12002MB (cached 10MB) CPU [2%@1728,94%@1728,0%@1728,0%@1728,2%@729,0%@729] GR3D_FREQ 32% cpu@50.156C soc2@48.312C soc0@48.781C gpu@49.25C tj@50.062C soc1@49.375C VDD_IN 5762mW/5875mW VDD_CPU_GPU_CV 1309mW/1245mW VDD_SOC 1510mW/1600mW
09-12-2026 21:03:37 RAM 5961/7620MB (lfb 2x128kB) SWAP 1051/12002MB (cached 10MB) CPU [5%@1728,62%@1728,9%@1728,0%@1728,0%@1728,15%@1728] GR3D_FREQ 0% cpu@50.406C soc2@48.218C soc0@48.937C gpu@49.406C tj@50.406C soc1@49.375C VDD_IN 5723mW/5868mW VDD_CPU_GPU_CV 1349mW/1249mW VDD_SOC 1510mW/1596mW
09-12-2026 21:03:37 RAM 6045/7620MB (lfb 5075x32kB) SWAP 1051/12002MB (cached 10MB) CPU [4%@1728,1%@1728,10%@1728,0%@1728,2%@1497,71%@1497] GR3D_FREQ 99% cpu@50.25C soc2@48.25C soc0@48.968C gpu@49.5C tj@50.25C soc1@49.375C VDD_IN 6120mW/5878mW VDD_CPU_GPU_CV 1507mW/1260mW VDD_SOC 1589mW/1596mW
