09-12-2026 20:36:47 RAM 5030/7620MB (lfb 25x512kB) SWAP 1057/12002MB (cached 10MB) CPU [34%@1728,37%@1728,15%@1728,64%@1728,38%@729,42%@729] GR3D_FREQ 15% cpu@50.906C soc2@49.031C soc0@49.656C gpu@50.25C tj@50.906C soc1@50.281C VDD_IN 5921mW/5894mW VDD_CPU_GPU_CV 1230mW/1262mW VDD_SOC 1629mW/1604mW
09-12-2026 20:36:48 RAM 5033/7620MB (lfb 1x1MB) SWAP 1057/12002MB (cached 10MB) CPU [0%@1728,0%@1728,3%@1728,100%@1728,0%@729,0%@729] GR3D_FREQ 0% cpu@50.968C soc2@49.218C soc0@49.562C gpu@50.125C tj@50.968C soc1@50.25C VDD_IN 5802mW/5889mW VDD_CPU_GPU_CV 1190mW/1258mW VDD_SOC 1589mW/1603mW
09-12-2026 20:36:48 RAM 5245/7620MB (lfb 27x128kB) SWAP 1056/12002MB (cached 10MB) CPU [42%@1113,33%@1113,33%@1113,40%@1113,24%@960,39%@960] GR3D_FREQ 13% cpu@51.031C soc2@49.031C soc0@49.656C gpu@50.25C tj@51.031C soc1@50.312C VDD_IN 5842mW/5886mW VDD_CPU_GPU_CV 1190mW/1254mW VDD_SOC 1629mW/1605mW
09-12-2026 20:36:49 RAM 5473/7620MB (lfb 36x128kB) SWAP 1056/12002MB (cached 10MB) CPU [32%@960,46%@960,29%@960,33%@960,4%@806,73%@806] GR3D_FREQ 20% cpu@50.781C soc2@49.125C soc0@49.562C gpu@49.875C tj@50.781C soc1@50.312C VDD_IN 5882mW/5886mW VDD_CPU_GPU_CV 1230mW/1253mW VDD_SOC 1629mW/1606mW
09-12-2026 20:36:49 RAM 5499/7620MB (lfb 1x2MB) SWAP 1056/12002MB (cached 10MB) CPU [3%@729,5%@729,3%@729,2%@729,0%@1728,98%@1728] GR3D_FREQ 0% cpu@50.968C soc2@49.125C soc0@49.75C gpu@50.218C tj@50.968C soc1@50.312C VDD_IN 5762mW/5880mW VDD_CPU_GPU_CV 1190mW/1250mW VDD_SOC 1589mW/1605mW
09-12-2026 20:36:50 RAM 5712/7620MB (lfb 1x1MB) SWAP 1058/12002MB (cached 10MB) CPU [33%@1728,46%@1728,8%@1728,33%@1728,23%@1113,74%@1113] GR3D_FREQ 8% cpu@51.062C soc2@49.187C soc0@49.812C gpu@49.906C tj@51.062C soc1@50.25C VDD_IN 6120mW/5891mW VDD_CPU_GPU_CV 1468mW/1260mW VDD_SOC 1629mW/1606mW
09-12-2026 20:36:50 RAM 5772/7620MB (lfb 1x1MB) SWAP 1058/12002MB (cached 10MB) CPU [8%@1728,9%@1728,8%@1728,6%@1728,3%@1728,88%@1728] GR3D_FREQ 0% cpu@51.156C soc2@49.062C soc0@49.718C gpu@50C tj@51.156C soc1@50.25C VDD_IN 5882mW/5891mW VDD_CPU_GPU_CV 1269mW/1260mW VDD_SOC 1589mW/1605mW
09-12-2026 20:36:51 RAM 5800/7620MB (lfb 1x1MB) SWAP 1059/12002MB (cached 10MB) CPU [6%@729,0%@729,0%@729,0%@729,14%@1728,96%@1728] GR3D_FREQ 2% cpu@51.125C soc2@49.125C soc0@49.656C gpu@49.875C tj@51.125C soc1@50.156C VDD_IN 5882mW/5890mW VDD_CPU_GPU_CV 1428mW/1268mW VDD_SOC 1550mW/1603mW
09-12-2026 20:36:51 RAM 5856/7620MB (lfb 1x1MB) SWAP 1060/12002MB (cached 10MB) CPU [15%@1728,50%@1728,0%@1728,0%@1728,6%@960,32%@960] GR3D_FREQ 16% cpu@50.968C soc2@49.156C soc0@49.75C gpu@50.218C tj@50.968C soc1@50.375C VDD_IN 5802mW/5887mW VDD_CPU_GPU_CV 1388mW/1273mW VDD_SOC 1510mW/1599mW
09-12-2026 20:36:52 RAM 5943/7620MB (lfb 1x256kB) SWAP 1060/12002MB (cached 10MB) CPU [4%@1497,76%@1497,0%@1728,1%@1728,6%@729,1%@729] GR3D_FREQ 7% cpu@51.187C soc2@49.25C soc0@49.781C gpu@50C tj@51.187C soc1@50.343C VDD_IN 6041mW/5893mW VDD_CPU_GPU_CV 1468mW/1280mW VDD_SOC 1589mW/1599mW
09-12-2026 20:36:52 RAM 6080/7620MB (lfb 60x128kB) SWAP 1061/12002MB (cached 10MB) CPU [5%@1728,82%@1728,1%@1728,0%@1728,27%@729,0%@729] GR3D_FREQ 99% cpu@51.375C soc2@49.218C soc0@49.906C gpu@51.031C tj@51.375C soc1@50.281C VDD_IN 6824mW/5929mW VDD_CPU_GPU_CV 2020mW/1309mW VDD_SOC 1706mW/1603mW
09-12-2026 20:36:53 RAM 6168/7620MB (lfb 25x128kB) SWAP 1063/12002MB (cached 10MB) CPU [4%@1728,84%@1728,0%@1728,0%@1728,20%@729,0%@729] GR3D_FREQ 31% cpu@51.562C soc2@49.625C soc0@49.906C gpu@51.156C tj@51.562C soc1@50.343C VDD_IN 10661mW/6104mW VDD_CPU_GPU_CV 4644mW/1432mW VDD_SOC 2168mW/1624mW
09-12-2026 20:36:54 RAM 6198/7620MB (lfb 17x128kB) SWAP 1064/12002MB (cached 10MB) CPU [0%@1728,98%@1728,0%@1728,1%@1728,10%@729,0%@729] GR3D_FREQ 45% cpu@51.437C soc2@49.562C soc0@49.875C gpu@51C tj@51.625C soc1@50.531C VDD_IN 8820mW/6201mW VDD_CPU_GPU_CV 3514mW/1507mW VDD_SOC 1858mW/1632mW
09-12-2026 20:36:54 RAM 6204/7620MB (lfb 1x2MB) SWAP 1064/12002MB (cached 10MB) CPU [1%@1728,100%@1728,0%@1728,0%@1728,0%@729,28%@729] GR3D_FREQ 56% cpu@51.5C soc2@49.593C soc0@49.968C gpu@50.906C tj@51.5C soc1@50.593C VDD_IN 8438mW/6278mW VDD_CPU_GPU_CV 3198mW/1565mW VDD_SOC 1819mW/1639mW
09-12-2026 20:36:55 RAM 6201/7620MB (lfb 1x2MB) SWAP 1064/12002MB (cached 10MB) CPU [0%@1728,98%@1728,0%@1728,0%@1728,0%@729,1%@729] GR3D_FREQ 56% cpu@51.468C soc2@49.656C soc0@50C gpu@50.906C tj@51.468C soc1@50.531C VDD_IN 8160mW/6341mW VDD_CPU_GPU_CV 3045mW/1614mW VDD_SOC 1782mW/1643mW
09-12-2026 20:36:55 RAM 6207/7620MB (lfb 1x2MB) SWAP 1064/12002MB (cached 10MB) CPU [16%@1728,54%@1728,18%@1728,27%@1728,52%@1728,28%@1728] GR3D_FREQ 93% cpu@52.5C soc2@50.062C soc0@50.093C gpu@52.593C tj@52.593C soc1@50.531C VDD_IN 12910mW/6553mW VDD_CPU_GPU_CV 6306mW/1766mW VDD_SOC 2397mW/1668mW
09-12-2026 20:36:56 RAM 6208/7620MB (lfb 1x2MB) SWAP 1064/12002MB (cached 10MB) CPU [13%@729,5%@729,4%@729,12%@729,98%@1728,26%@1728] GR3D_FREQ 38% cpu@51.968C soc2@49.968C soc0@50.218C gpu@51.25C tj@51.968C soc1@50.562C VDD_IN 9950mW/6659mW VDD_CPU_GPU_CV 4408mW/1848mW VDD_SOC 1974mW/1677mW
09-12-2026 20:36:56 RAM 6207/7620MB (lfb 1x2MB) SWAP 1064/12002MB (cached 10MB) CPU [1%@1728,0%@1728,0%@1728,1%@1728,98%@1728,0%@1728] GR3D_FREQ 45% cpu@52.062C soc2@49.875C soc0@50.218C gpu@51.187C tj@52.062C soc1@50.656C VDD_IN 8701mW/6721mW VDD_CPU_GPU_CV 3474mW/1898mW VDD_SOC 1819mW/1682mW
