09-12-2026 22:44:55 RAM 5191/7620MB (lfb 5x512kB) SWAP 885/12002MB (cached 11MB) CPU [34%@729,30%@729,36%@729,44%@729,32%@729,44%@729] GR3D_FREQ 34% cpu@53.062C soc2@51.25C soc0@51.781C gpu@52.25C tj@53.062C soc1@52.437C VDD_IN 6041mW/5917mW VDD_CPU_GPU_CV 1309mW/1259mW VDD_SOC 1669mW/1619mW
09-12-2026 22:44:56 RAM 5213/7620MB (lfb 4x512kB) SWAP 885/12002MB (cached 11MB) CPU [5%@1728,95%@1728,4%@1728,4%@1728,0%@729,7%@729] GR3D_FREQ 0% cpu@53C soc2@51.25C soc0@51.75C gpu@52.125C tj@53C soc1@52.406C VDD_IN 5882mW/5914mW VDD_CPU_GPU_CV 1190mW/1255mW VDD_SOC 1589mW/1617mW
09-12-2026 22:44:56 RAM 5325/7620MB (lfb 1x1MB) SWAP 887/12002MB (cached 11MB) CPU [26%@1728,54%@1728,27%@1728,18%@1728,16%@729,25%@729] GR3D_FREQ 21% cpu@53.25C soc2@51.218C soc0@51.75C gpu@52.187C tj@53.25C soc1@52.625C VDD_IN 5882mW/5913mW VDD_CPU_GPU_CV 1230mW/1254mW VDD_SOC 1629mW/1618mW
09-12-2026 22:44:57 RAM 5586/7620MB (lfb 32x128kB) SWAP 905/12002MB (cached 11MB) CPU [29%@1728,31%@1728,67%@1728,20%@1728,38%@960,38%@960] GR3D_FREQ 14% cpu@52.937C soc2@51.218C soc0@51.625C gpu@52.375C tj@52.968C soc1@52.562C VDD_IN 5961mW/5915mW VDD_CPU_GPU_CV 1269mW/1255mW VDD_SOC 1629mW/1619mW
09-12-2026 22:44:57 RAM 5626/7620MB (lfb 1x512kB) SWAP 905/12002MB (cached 11MB) CPU [8%@729,8%@729,4%@729,0%@729,13%@1728,94%@1728] GR3D_FREQ 0% cpu@52.875C soc2@51.312C soc0@51.718C gpu@52.187C tj@52.875C soc1@52.562C VDD_IN 5842mW/5912mW VDD_CPU_GPU_CV 1230mW/1254mW VDD_SOC 1589mW/1617mW
09-12-2026 22:44:58 RAM 5852/7620MB (lfb 14x256kB) SWAP 906/12002MB (cached 11MB) CPU [52%@1344,30%@1344,27%@1344,11%@1344,34%@729,62%@729] GR3D_FREQ 9% cpu@53.343C soc2@51.375C soc0@51.718C gpu@52.406C tj@53.343C soc1@52.562C VDD_IN 6239mW/5927mW VDD_CPU_GPU_CV 1507mW/1266mW VDD_SOC 1629mW/1618mW
09-12-2026 22:44:58 RAM 5973/7620MB (lfb 35x128kB) SWAP 906/12002MB (cached 11MB) CPU [7%@1728,86%@1728,13%@1728,15%@1728,13%@729,13%@729] GR3D_FREQ 0% cpu@53.093C soc2@51.343C soc0@51.75C gpu@52.156C tj@52.968C soc1@52.343C VDD_IN 5961mW/5929mW VDD_CPU_GPU_CV 1309mW/1268mW VDD_SOC 1629mW/1618mW
09-12-2026 22:44:59 RAM 6006/7620MB (lfb 15x512kB) SWAP 906/12002MB (cached 11MB) CPU [0%@1728,98%@1728,0%@1728,0%@1728,0%@729,18%@729] GR3D_FREQ 5% cpu@53.187C soc2@51.281C soc0@51.781C gpu@52.062C tj@53.187C soc1@52.531C VDD_IN 5921mW/5928mW VDD_CPU_GPU_CV 1428mW/1275mW VDD_SOC 1550mW/1615mW
09-12-2026 22:44:59 RAM 6009/7620MB (lfb 2x1MB) SWAP 906/12002MB (cached 11MB) CPU [3%@1728,88%@1728,0%@1728,0%@1728,0%@729,5%@729] GR3D_FREQ 0% cpu@53.125C soc2@51.343C soc0@51.781C gpu@52.156C tj@53.125C soc1@52.625C VDD_IN 5762mW/5921mW VDD_CPU_GPU_CV 1428mW/1281mW VDD_SOC 1510mW/1611mW
09-12-2026 22:45:00 RAM 6019/7620MB (lfb 2x1MB) SWAP 906/12002MB (cached 11MB) CPU [8%@1651,73%@1651,12%@1651,9%@1651,4%@729,0%@729] GR3D_FREQ 0% cpu@52.906C soc2@51.406C soc0@51.625C gpu@52.093C tj@53C soc1@52.625C VDD_IN 5683mW/5912mW VDD_CPU_GPU_CV 1388mW/1285mW VDD_SOC 1510mW/1607mW
09-12-2026 22:45:00 RAM 6021/7620MB (lfb 2x1MB) SWAP 906/12002MB (cached 11MB) CPU [14%@1420,42%@1420,20%@1420,15%@1420,5%@729,3%@729] GR3D_FREQ 0% cpu@52.906C soc2@51.281C soc0@51.656C gpu@52.031C tj@52.906C soc1@52.5C VDD_IN 5325mW/5889mW VDD_CPU_GPU_CV 1073mW/1277mW VDD_SOC 1470mW/1602mW
09-12-2026 22:45:01 RAM 6029/7620MB (lfb 2x1MB) SWAP 906/12002MB (cached 11MB) CPU [16%@1728,36%@1728,45%@1728,4%@1728,5%@729,1%@729] GR3D_FREQ 0% cpu@53.281C soc2@51.281C soc0@51.625C gpu@52.031C tj@53.281C soc1@52.5C VDD_IN 5524mW/5876mW VDD_CPU_GPU_CV 1230mW/1275mW VDD_SOC 1510mW/1598mW
09-12-2026 22:45:01 RAM 6165/7620MB (lfb 4x512kB) SWAP 907/12002MB (cached 11MB) CPU [21%@1728,10%@1728,1%@1728,60%@1728,35%@729,0%@729] GR3D_FREQ 46% cpu@53.218C soc2@51.281C soc0@51.718C gpu@52.062C tj@53.218C soc1@52.437C VDD_IN 5723mW/5870mW VDD_CPU_GPU_CV 1269mW/1275mW VDD_SOC 1550mW/1596mW
09-12-2026 22:45:02 RAM 6232/7620MB (lfb 3x512kB) SWAP 907/12002MB (cached 11MB) CPU [69%@1728,17%@1728,0%@1728,6%@1728,24%@729,1%@729] GR3D_FREQ 0% cpu@53.343C soc2@51.406C soc0@51.687C gpu@52C tj@53.343C soc1@52.437C VDD_IN 5921mW/5872mW VDD_CPU_GPU_CV 1428mW/1280mW VDD_SOC 1550mW/1595mW
09-12-2026 22:45:02 RAM 6400/7620MB (lfb 21x256kB) SWAP 908/12002MB (cached 11MB) CPU [70%@1574,14%@1574,0%@1574,0%@1574,32%@883,0%@883] GR3D_FREQ 20% cpu@53.312C soc2@51.406C soc0@51.812C gpu@52.593C tj@53.312C soc1@52.656C VDD_IN 8121mW/5947mW VDD_CPU_GPU_CV 2847mW/1333mW VDD_SOC 1861mW/1604mW
09-12-2026 22:45:03 RAM 6488/7620MB (lfb 11x256kB) SWAP 909/12002MB (cached 11MB) CPU [3%@1728,96%@1728,0%@1728,0%@1728,34%@729,0%@729] GR3D_FREQ 43% cpu@53.562C soc2@51.656C soc0@51.812C gpu@52.937C tj@53.562C soc1@52.625C VDD_IN 9967mW/6077mW VDD_CPU_GPU_CV 4060mW/1421mW VDD_SOC 2053mW/1618mW
09-12-2026 22:45:03 RAM 6492/7620MB (lfb 1x2MB) SWAP 909/12002MB (cached 11MB) CPU [2%@1728,98%@1728,1%@1728,0%@1728,0%@960,13%@960] GR3D_FREQ 49% cpu@53.843C soc2@51.75C soc0@51.843C gpu@52.843C tj@53.843C soc1@52.687C VDD_IN 8899mW/6165mW VDD_CPU_GPU_CV 3474mW/1485mW VDD_SOC 1898mW/1627mW
09-12-2026 22:45:04 RAM 6494/7620MB (lfb 1x2MB) SWAP 909/12002MB (cached 11MB) CPU [3%@1728,98%@1728,3%@1728,0%@1728,1%@729,26%@729] GR3D_FREQ 62% cpu@53.5C soc2@51.843C soc0@52C gpu@53.062C tj@53.5C soc1@52.625C VDD_IN 8596mW/6239mW VDD_CPU_GPU_CV 3277mW/1539mW VDD_SOC 1858mW/1634mW
09-12-2026 22:45:04 RAM 6496/7620MB (lfb 1x2MB) SWAP 909/12002MB (cached 11MB) CPU [2%@1728,82%@1728,0%@1728,0%@1728,0%@729,1%@729] GR3D_FREQ 30% cpu@53.968C soc2@52.062C soc0@52.093C gpu@53.562C tj@53.968C soc1@52.625C VDD_IN 12240mW/6415mW VDD_CPU_GPU_CV 5610mW/1659mW VDD_SOC 2361mW/1655mW
09-12-2026 22:45:05 RAM 6496/7620MB (lfb 1x2MB) SWAP 909/12002MB (cached 11MB) CPU [3%@1728,100%@1728,0%@1728,0%@1728,0%@729,0%@729] GR3D_FREQ 44% cpu@53.812C soc2@51.906C soc0@52.156C gpu@53.437C tj@53.812C soc1@52.843C VDD_IN 9650mW/6508mW VDD_CPU_GPU_CV 4100mW/1729mW VDD_SOC 1974mW/1664mW
09-12-2026 22:45:05 RAM 6496/7620MB (lfb 1x2MB) SWAP 909/12002MB (cached 11MB) CPU [2%@1728,98%@1728,0%@1728,0%@1728,0%@729,0%@729] GR3D_FREQ 48% cpu@53.625C soc2@52.031C soc0@52.093C gpu@53.187C tj@53.687C soc1@52.843C VDD_IN 8740mW/6570mW VDD_CPU_GPU_CV 3435mW/1776mW VDD_SOC 1858mW/1670mW
