09-14-2026 11:42:40 RAM 2242/7620MB (lfb 124x1MB) SWAP 556/8192MB (cached 189MB) CPU [0%@1728,100%@1728,0%@1728,0%@1728,0%@729,0%@729] GR3D_FREQ 0% cpu@51.25C soc2@49.187C soc0@49.75C gpu@50.312C tj@51.218C soc1@50.437C VDD_IN 5643mW/5651mW VDD_CPU_GPU_CV 1468mW/1378mW VDD_SOC 1470mW/1478mW
09-14-2026 11:42:40 RAM 2237/7620MB (lfb 116x1MB) SWAP 556/8192MB (cached 189MB) CPU [18%@1728,68%@1728,0%@1728,0%@1728,3%@729,2%@729] GR3D_FREQ 0% cpu@51.437C soc2@49.25C soc0@49.937C gpu@50.062C tj@51.437C soc1@50.375C VDD_IN 5683mW/5653mW VDD_CPU_GPU_CV 1388mW/1379mW VDD_SOC 1470mW/1477mW
09-14-2026 11:42:41 RAM 2239/7620MB (lfb 112x1MB) SWAP 556/8192MB (cached 189MB) CPU [96%@1728,1%@1728,3%@1728,1%@1728,2%@1113,3%@1113] GR3D_FREQ 0% cpu@51.187C soc2@49.281C soc0@49.937C gpu@50.343C tj@51.187C soc1@50.343C VDD_IN 5683mW/5654mW VDD_CPU_GPU_CV 1309mW/1375mW VDD_SOC 1510mW/1479mW
09-14-2026 11:42:42 RAM 2246/7620MB (lfb 1x2MB) SWAP 556/8192MB (cached 189MB) CPU [87%@1728,12%@1728,12%@1728,11%@1728,11%@729,14%@729] GR3D_FREQ 0% cpu@51.437C soc2@49.375C soc0@49.812C gpu@50.281C tj@51.437C soc1@50.531C VDD_IN 5723mW/5658mW VDD_CPU_GPU_CV 1428mW/1378mW VDD_SOC 1510mW/1481mW
09-14-2026 11:42:42 RAM 2256/7620MB (lfb 100x1MB) SWAP 556/8192MB (cached 189MB) CPU [1%@1728,93%@1728,0%@1728,0%@1728,0%@729,3%@729] GR3D_FREQ 0% cpu@51.187C soc2@49.375C soc0@49.843C gpu@50.312C tj@51.187C soc1@50.468C VDD_IN 5723mW/5661mW VDD_CPU_GPU_CV 1428mW/1380mW VDD_SOC 1470mW/1480mW
09-14-2026 11:42:43 RAM 2265/7620MB (lfb 2x2MB) SWAP 556/8192MB (cached 189MB) CPU [2%@1574,86%@1574,0%@1728,2%@1728,3%@729,5%@729] GR3D_FREQ 0% cpu@51.312C soc2@49.375C soc0@49.781C gpu@50.25C tj@51.312C soc1@50.343C VDD_IN 5683mW/5662mW VDD_CPU_GPU_CV 1428mW/1383mW VDD_SOC 1470mW/1480mW
09-14-2026 11:42:43 RAM 2268/7620MB (lfb 3x2MB) SWAP 556/8192MB (cached 189MB) CPU [0%@1728,96%@1728,0%@1728,0%@1728,0%@729,0%@729] GR3D_FREQ 0% cpu@51.156C soc2@49.406C soc0@49.937C gpu@50.156C tj@51.156C soc1@50.375C VDD_IN 5683mW/5663mW VDD_CPU_GPU_CV 1309mW/1379mW VDD_SOC 1510mW/1481mW
09-14-2026 11:42:44 RAM 2276/7620MB (lfb 111x1MB) SWAP 556/8192MB (cached 189MB) CPU [1%@1728,98%@1728,0%@1728,0%@1728,0%@729,1%@729] GR3D_FREQ 0% cpu@51.406C soc2@49.218C soc0@49.906C gpu@50.25C tj@51.406C soc1@50.375C VDD_IN 5762mW/5667mW VDD_CPU_GPU_CV 1428mW/1381mW VDD_SOC 1470mW/1480mW
09-14-2026 11:42:44 RAM 2282/7620MB (lfb 111x1MB) SWAP 556/8192MB (cached 189MB) CPU [2%@1728,91%@1728,0%@1728,1%@1728,2%@729,0%@729] GR3D_FREQ 0% cpu@51.156C soc2@49.375C soc0@49.937C gpu@50.218C tj@51.156C soc1@50.625C VDD_IN 5723mW/5670mW VDD_CPU_GPU_CV 1468mW/1385mW VDD_SOC 1470mW/1480mW
09-14-2026 11:42:45 RAM 2288/7620MB (lfb 112x1MB) SWAP 556/8192MB (cached 189MB) CPU [1%@1728,100%@1728,1%@1728,0%@1728,1%@729,0%@729] GR3D_FREQ 0% cpu@51.218C soc2@49.375C soc0@49.875C gpu@50.187C tj@51.375C soc1@50.625C VDD_IN 5842mW/5677mW VDD_CPU_GPU_CV 1507mW/1390mW VDD_SOC 1470mW/1480mW
