slabinfo - version: 2.1
# name            <active_objs> <num_objs> <objsize> <objperslab> <pagesperslab> : tunables <limit> <batchcount> <sharedfactor> : slabdata <active_slabs> <num_slabs> <sharedavail>
ext4_extent_status   6936   6936     40  102    1 : tunables    0    0    0 : slabdata     68     68      0
mbcache             5548   5548     56   73    1 : tunables    0    0    0 : slabdata     76     76      0
dnotify_struct         0      0     32  128    1 : tunables    0    0    0 : slabdata      0      0      0
dio                    0      0    640   25    4 : tunables    0    0    0 : slabdata      0      0      0
audit_tree_mark        0      0     80   51    1 : tunables    0    0    0 : slabdata      0      0      0
pid_namespace         90     90    136   30    1 : tunables    0    0    0 : slabdata      3      3      0
kvm_vcpu               0      0  10000    3    8 : tunables    0    0    0 : slabdata      0      0      0
rpc_inode_cache        0      0    704   23    4 : tunables    0    0    0 : slabdata      0      0      0
UNIX                 844    870   1088   30    8 : tunables    0    0    0 : slabdata     29     29      0
ip4-frags              0      0    200   20    1 : tunables    0    0    0 : slabdata      0      0      0
ip_fib_trie          510    510     48   85    1 : tunables    0    0    0 : slabdata      6      6      0
ip_fib_alias         438    438     56   73    1 : tunables    0    0    0 : slabdata      6      6      0
RAW                  144    144   1024   16    4 : tunables    0    0    0 : slabdata      9      9      0
UDP                  420    420   1152   28    8 : tunables    0    0    0 : slabdata     15     15      0
tw_sock_TCP          476    510    240   17    1 : tunables    0    0    0 : slabdata     30     30      0
request_sock_TCP     156    156    304   26    2 : tunables    0    0    0 : slabdata      6      6      0
TCP                   84     84   2240   14    8 : tunables    0    0    0 : slabdata      6      6      0
hugetlbfs_inode_cache     50     50    648   25    4 : tunables    0    0    0 : slabdata      2      2      0
dquot                288    288    256   16    1 : tunables    0    0    0 : slabdata     18     18      0
ep_head             1536   1536     16  256    1 : tunables    0    0    0 : slabdata      6      6      0
request_queue         90     90   2072   15    8 : tunables    0    0    0 : slabdata      6      6      0
biovec-max           152    168   4096    8    8 : tunables    0    0    0 : slabdata     21     21      0
