09-14-2026 15:55:09 RAM 5698/7620MB (lfb 2x1MB) SWAP 648/8192MB (cached 200MB) CPU [1%@1728,0%@1728,17%@1728,1%@1728,0%@729,84%@729] GR3D_FREQ 0% cpu@53.593C soc2@51.531C soc0@51.781C gpu@52.562C tj@53.593C soc1@52.593C VDD_IN 5762mW/5814mW VDD_CPU_GPU_CV 1547mW/1470mW VDD_SOC 1470mW/1515mW
09-14-2026 15:55:10 RAM 5717/7620MB (lfb 2x512kB) SWAP 648/8192MB (cached 200MB) CPU [0%@1728,0%@1728,100%@1728,0%@1728,0%@729,1%@729] GR3D_FREQ 0% cpu@54.156C soc2@51.468C soc0@51.968C gpu@52.25C tj@54.156C soc1@52.562C VDD_IN 5882mW/5818mW VDD_CPU_GPU_CV 1547mW/1474mW VDD_SOC 1510mW/1514mW
09-14-2026 15:55:10 RAM 5678/7620MB (lfb 1x2MB) SWAP 648/8192MB (cached 200MB) CPU [1%@1728,3%@1728,52%@1728,0%@1728,0%@1728,32%@1728] GR3D_FREQ 0% cpu@53.375C soc2@51.437C soc0@51.937C gpu@52.656C tj@53.375C soc1@52.531C VDD_IN 6239mW/5841mW VDD_CPU_GPU_CV 1507mW/1476mW VDD_SOC 1626mW/1520mW
09-14-2026 15:55:11 RAM 5685/7620MB (lfb 1x2MB) SWAP 648/8192MB (cached 200MB) CPU [64%@1728,28%@1728,0%@1728,4%@1728,9%@729,4%@729] GR3D_FREQ 0% cpu@53.281C soc2@51.5C soc0@51.906C gpu@52.406C tj@53.281C soc1@52.593C VDD_IN 5882mW/5843mW VDD_CPU_GPU_CV 1428mW/1474mW VDD_SOC 1550mW/1522mW
09-14-2026 15:55:11 RAM 5685/7620MB (lfb 1x2MB) SWAP 648/8192MB (cached 200MB) CPU [4%@729,36%@729,8%@729,9%@729,0%@1728,52%@1728] GR3D_FREQ 0% cpu@53.281C soc2@51.375C soc0@51.937C gpu@52.468C tj@53.281C soc1@52.718C VDD_IN 5723mW/5837mW VDD_CPU_GPU_CV 1428mW/1471mW VDD_SOC 1510mW/1521mW
09-14-2026 15:55:12 RAM 5682/7620MB (lfb 1x2MB) SWAP 648/8192MB (cached 200MB) CPU [10%@1728,13%@1728,35%@1728,4%@1728,2%@729,43%@729] GR3D_FREQ 0% cpu@53.343C soc2@51.531C soc0@51.937C gpu@52.312C tj@53.187C soc1@52.625C VDD_IN 6120mW/5851mW VDD_CPU_GPU_CV 1468mW/1471mW VDD_SOC 1626mW/1526mW
09-14-2026 15:55:12 RAM 5683/7620MB (lfb 1x2MB) SWAP 648/8192MB (cached 200MB) CPU [42%@1728,52%@1728,3%@1728,0%@1728,0%@729,2%@729] GR3D_FREQ 0% cpu@53.531C soc2@51.468C soc0@52C gpu@52.312C tj@53.531C soc1@52.625C VDD_IN 5802mW/5849mW VDD_CPU_GPU_CV 1388mW/1468mW VDD_SOC 1550mW/1527mW
09-14-2026 15:55:13 RAM 5683/7620MB (lfb 1x2MB) SWAP 648/8192MB (cached 200MB) CPU [34%@1728,7%@1728,12%@1728,5%@1728,0%@1728,45%@1728] GR3D_FREQ 0% cpu@53.25C soc2@51.375C soc0@51.937C gpu@52.343C tj@53.25C soc1@52.531C VDD_IN 5643mW/5840mW VDD_CPU_GPU_CV 1349mW/1462mW VDD_SOC 1510mW/1527mW
09-14-2026 15:55:13 RAM 5701/7620MB (lfb 1x2MB) SWAP 648/8192MB (cached 200MB) CPU [46%@1728,0%@1728,1%@1728,3%@1728,0%@729,56%@729] GR3D_FREQ 0% cpu@53.75C soc2@51.562C soc0@51.906C gpu@52.25C tj@53.75C soc1@52.562C VDD_IN 5723mW/5835mW VDD_CPU_GPU_CV 1468mW/1463mW VDD_SOC 1470mW/1524mW
09-14-2026 15:55:14 RAM 5681/7620MB (lfb 1x2MB) SWAP 648/8192MB (cached 200MB) CPU [16%@1728,34%@1728,0%@1728,0%@1728,1%@729,33%@729] GR3D_FREQ 0% cpu@53.25C soc2@51.437C soc0@51.937C gpu@52.25C tj@53.25C soc1@52.75C VDD_IN 5961mW/5840mW VDD_CPU_GPU_CV 1428mW/1461mW VDD_SOC 1589mW/1527mW
09-14-2026 15:55:14 RAM 5681/7620MB (lfb 1x2MB) SWAP 648/8192MB (cached 200MB) CPU [0%@1728,33%@1728,56%@1728,9%@1728,0%@729,2%@729] GR3D_FREQ 0% cpu@53.593C soc2@51.437C soc0@51.843C gpu@52.343C tj@53.593C soc1@52.625C VDD_IN 5762mW/5837mW VDD_CPU_GPU_CV 1349mW/1457mW VDD_SOC 1510mW/1526mW
09-14-2026 15:55:15 RAM 5692/7620MB (lfb 1x2MB) SWAP 648/8192MB (cached 200MB) CPU [26%@1728,7%@1728,10%@1728,2%@1728,0%@729,61%@729] GR3D_FREQ 0% cpu@53.468C soc2@51.593C soc0@52C gpu@52.218C tj@53.468C soc1@52.625C VDD_IN 5683mW/5831mW VDD_CPU_GPU_CV 1428mW/1456mW VDD_SOC 1510mW/1526mW
